,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
24,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628964}","{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628964}",,,,,,,,,,,,,,,,,,
25,"{'TEAM_ABBREVIATION': 'ORL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631094}",,,,,,,,,,,,,,,,,,,,,,,,
26,"{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630217}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630217}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630217}",,,,,,,,,,,,,,,,,,,,,,
27,"{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630625}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630625}",,,,,,,,,,,,,,,,,,,,,,,
28,"{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1631230}",,,,,,,,,,,,,,,,,,,,,,,,
29,"{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'DAL', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203084}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 203084}",,,,,,,,,,,,
30,"{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630567}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630567}",,,,,,,,,,,,,,,,,,,,,,,
31,"{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629628}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629628}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629628}","{'TEAM_ABBREVIATION': 'NYK', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629628}",,,,,,,,,,,,,,,,,,,,,
32,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203115}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 203115}",,,,,,,,,,
33,"{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629646}","{'TEAM_ABBREVIATION': 'PHI', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629646}",,,,,,,,,,,,,,,,,,,,,,,
34,"{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'DEN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628966}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628966}",,,,,,,,,,,,,,,,,,
35,"{'TEAM_ABBREVIATION': 'LAC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'LAC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'LAC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'CHA', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2011-12', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2010-11', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2009-10', 'PLAYER_ID': 201587}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2008-09', 'PLAYER_ID': 201587}",,,,,,,,,,
36,"{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'SAC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'POR', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'ATL', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'LAL', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203145}","{'TEAM_ABBREVIATION': 'GSW', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 203145}",,,,,,,,,,,
37,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629647}","{'TEAM_ABBREVIATION': 'PHX', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629647}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629647}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629647}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629647}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629647}",,,,,,,,,,,,,,,,,,,
38,"{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203078}","{'TEAM_ABBREVIATION': 'WAS', 'GROUP_VALUE': '2012-13', 'PLAYER_ID': 203078}",,,,,,,,,,,,,,
