,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
500,ORL,2022-23,1630591
501,BKN,2022-23,1628410
502,LAL,2022-23,1631306
503,HOU,2022-23,1630256
504,BOS,2022-23,1628369
505,TOT,2022-23,1630678
506,NOP,2022-23,202066
507,CHI,2022-23,1631207
508,IND,2022-23,1628464
509,BOS,2021-22,1630271
510,BKN,2022-23,1630560
511,GSW,2022-23,202691
512,CHA,2022-23,1630550
513,TOT,2022-23,1629680
514,MEM,2021-22,1629681
515,MEM,2022-23,1630214
516,WAS,2022-23,1630225
517,NYK,2022-23,1630167
518,TOT,2022-23,1629308
519,MIN,2022-23,1626157
520,TOR,2022-23,1629018
521,PHI,2022-23,200782
522,IND,2022-23,1626167
523,DET,2022-23,1630649
524,NOP,2022-23,202685
525,TOR,2022-23,1627832
526,TOT,2022-23,1629020
527,SAS,2022-23,1630170
528,,,0
529,MIA,2022-23,1629216
530,BOS,2022-23,203943
531,CHI,2022-23,202696
532,CLE,2022-23,1629731
533,ORL,2022-23,1630532
534,ORL,2022-23,1629021
535,PHX,2022-23,1630688
536,POR,2022-23,1631133
537,DAL,2022-23,202689
538,LAL,2022-23,1629022
539,LAC,2022-23,202322
540,TOT,2022-23,203933
541,CHA,2022-23,1629023
542,PHX,2022-23,1630613
543,HOU,2022-23,1631102
544,BKN,2022-23,1629139
545,OKC,2022-23,1630322
546,POR,2022-23,1630570
547,DEN,2022-23,1631212
548,GSW,2021-22,1629683
549,SAS,2022-23,1631104
550,TOT,2022-23,201566
551,CHI,2022-23,1629632
552,BOS,2022-23,1628401
553,DEN,2022-23,1631298
554,TOR,2022-23,1630580
555,OKC,2022-23,1630598
556,GSW,2022-23,203952
557,MIL,2022-23,1629623
558,BKN,2022-23,1631214
559,BOS,2022-23,1629684
560,OKC,2022-23,1631114
561,OKC,2022-23,1631119
562,POR,2022-23,1631466
563,OKC,2022-23,1629026
564,CHA,2022-23,1631109
565,CHI,2022-23,1630172
566,MEM,2022-23,1630533
567,BOS,2022-23,1629057
568,MEM,2022-23,1631246
569,NOP,2022-23,1629627
570,TOR,2021-22,1628391
571,CLE,2022-23,1629685
572,POR,2022-23,1626159
573,TOT,2022-23,1630164
574,DAL,2022-23,1626174
575,WAS,2022-23,1626153
576,DAL,2022-23,1630593
577,TOR,2022-23,201152
578,ATL,2022-23,1629027
579,MIA,2022-23,1630209
580,MIA,2022-23,203469
581,LAC,2022-23,1627826
